,0,1,2,3,4,5,6,7
77,1612951200.0,1545806.262,47143.14,47152.735,46404.3,46551.41,0.996297976757594,0.0
78,1612952100.0,2385424.024,46968.615,47294.64,46923.0725,47146.61,0.994814728941869,0.0
79,1612953000.0,1617647.697,46725.07,47171.6025,46625.77,46968.665,0.9980053534430232,0.0
80,1612953900.0,1323463.795,46631.87,46743.02,46485.65,46725.76,0.9967847096845998,0.0
81,1612954800.0,1352831.156,46481.935,46681.4,46301.5975,46633.26,1.000338303472091,1.0
82,1612955700.0,1324513.802,46497.66,46553.40875,46307.98,46481.125,0.999963116423493,0.0
83,1612956600.0,1045361.898,46495.945,46591.12,46358.215,46495.5325,1.0017868224852726,1.0
84,1612957500.0,822152.4416,46579.025,46580.56,46422.92,46495.845,0.9928437746389066,0.0
85,1612958400.0,2319947.401,46245.695,46590.545,46044.25,46581.1,0.9978034712204022,0.0
86,1612959300.0,1762778.438,46144.115,46426.8375,46020.2,46245.695,0.9784209752424552,0.0
87,1612960200.0,5174699.592,45148.37,46207.575,44580.0,46146.655,1.0115055095012289,1.0
88,1612961100.0,2652019.934,45667.825,45828.01,45136.25,45148.37,1.0031388619887196,1.0
89,1612962000.0,2915175.484,45811.17,45959.17875,45417.22,45667.825,0.993117944815642,0.0
90,1612962900.0,2599825.796,45495.895,45805.095,45353.53,45805.095,1.006125387795976,1.0
91,1612963800.0,1507423.368,45774.575,45817.785,45403.795,45495.895,0.9968116580001016,0.0
92,1612964700.0,1150755.258,45628.63,45862.9175,45522.665,45774.575,1.0046508080562575,1.0
93,1612965600.0,1739515.1609999996,45840.84,45973.225,45295.1,45629.04,0.9899085618849915,0.0
94,1612966500.0,1599590.265,45378.24,45896.79375,45230.7625,45840.77,0.9963840598489496,0.0
95,1612967400.0,2374257.227,45214.155,45414.395,45001.02,45378.03,0.9942663973262356,0.0
96,1612968300.0,1864906.319,44954.915,45377.8575,44825.48,45214.155,1.001218554189236,1.0
97,1612969200.0,3337005.474,45009.695,45174.45,44444.0,44958.78,0.9876548819093308,0.0
98,1612970100.0,1733995.376,44454.045,45211.0775,44361.86,45007.25,0.9905046886059526,0.0
99,1612971000.0,2712038.6360000004,44031.94,44622.51,44030.27,44453.82,1.0069835669289158,1.0
